"","Gambar produk","Tindakan","Produk","Lokasi Bisnis","Harga Pembelian Satuan","Harga penjualan","Stok saat ini","Jenis Produk","Kategori","Merek","Pajak","SKU"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Celana Athfal Seri B","Kedai HW","Rp 80,000.00","Rp 80,000.00","998.00 Pieces","Tunggal","","","","0120"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Celana Pengenal Seri A","Kedai HW","Rp 100,000.00","Rp 100,000.00","1,000.00 Pieces","Tunggal","","","","0121"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Celana Pengenal Seri B","Kedai HW","Rp 90,000.00","Rp 90,000.00","9,822.00 Pieces","Tunggal","","","","0122"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Celana Penghela/ Penuntun/ Dewasa Seri A","Kedai HW","Rp 120,000.00","Rp 120,000.00","997.00 Pieces","Tunggal","","","","0123"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Celana Penghela/ Penuntun/ Dewasa Seri B","Kedai HW","Rp 110,000.00","Rp 110,000.00","980.00 Pieces","Tunggal","","","","0124"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Celana Rok","Kedai HW","Rp 175,000.00","Rp 175,000.00","485.00 Pieces","Tunggal","","","","0246"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Celana Tactical","Kedai HW","Rp 125,000.00","Rp 150,000.00","95.00 Pieces","Tunggal","","","","2121"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Dasi & Pin HW","Kedai HW","Rp 30,000.00","Rp 37,500.00","952.00 Pieces","Tunggal","","","","35000"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Dasi Bordir Custom","Kedai HW","Rp 12,000.00","Rp 12,000.00","900.00 Pieces","Tunggal","","","","0219"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Dasi Custom","Kedai HW","Rp 7,000.00","Rp 10,000.00","990.00 Pieces","Tunggal","","","","09189"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Donasi Jingle Lagu HW Jateng","Kedai HW","Rp 150,000.00","Rp 150,000.00","99.00 Pieces","Tunggal","","","","0289"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Drahrem","Kedai HW","Rp 40,000.00","Rp 40,000.00","1,000.00 Pieces","Tunggal","","","","0131"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Duk Athfal Jumbo DTF","Kedai HW","Rp 16,000.00","Rp 16,000.00","9,924.00 Pieces","Tunggal","","","","0004"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Duk Athfal Standar Bordir","Kedai HW","Rp 17,000.00","Rp 17,000.00","9,971.00 Pieces","Tunggal","","","","0005"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Duk Athfal Standar DTF","Kedai HW","Rp 15,000.00","Rp 15,000.00","7,181.00 Pieces","Tunggal","","","","0001"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Duk Athfal Standar Seri B","Kedai HW","Rp 13,000.00","Rp 13,000.00","19,850.00 Pieces","Tunggal","","","","0265"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Duk Pengenal Jumbo Bordir","Kedai HW","Rp 20,000.00","Rp 20,000.00","9,869.00 Pieces","Tunggal","","","","0008"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Duk Pengenal Jumbo DTF","Kedai HW","Rp 16,000.00","Rp 16,000.00","7,514.00 Pieces","Tunggal","","","","0006"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Duk Pengenal Seri B","Kedai HW","Rp 13,000.00","Rp 13,000.00","19,700.00 Pieces","Tunggal","","","","0264"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Duk Pengenal Standar Bordir","Kedai HW","Rp 17,000.00","Rp 17,000.00","9,967.00 Pieces","Tunggal","","","","0007"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Duk Pengenal Standar DTF","Kedai HW","Rp 15,000.00","Rp 15,000.00","5,705.00 Pieces","Tunggal","","","","0002"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Duk Penghela, Penuntun, Dewasa Bordir","Kedai HW","Rp 20,000.00","Rp 20,000.00","9,510.00 Pieces","Tunggal","","","","0009"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Duk Penghela, Penuntun, Dewasa DTF","Kedai HW","Rp 16,000.00","Rp 16,000.00","4,368.00 Pieces","Tunggal","","","","0003"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Duk Penghela, Penuntun, Dewasa DTF Eksklusif","Kedai HW","Rp 18,000.00","Rp 18,000.00","8,486.00 Pieces","Tunggal","","","","0270"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Duk Tunas Athfal Paud","Kedai HW","Rp 10,000.00","Rp 10,000.00","7,463.00 Pieces","Tunggal","","","","0143"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Ganci Custom Akrilik","Kedai HW","Rp 10,000.00","Rp 12,000.00","900.00 Pieces","Tunggal","","","","0281"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","IDCard Barcode + Tali DTF","Kedai HW","Rp 10,000.00","Rp 10,000.00","785.00 Pieces","Tunggal","","","","0215"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi Brosur produk","Ikat Pinggang HW","Kedai HW","Rp 10,000.00","Rp 10,000.00","182.00 Pieces","Tunggal","","","","01500"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi Brosur produk","Ikat Pinggang Kuningan HW","Kedai HW","Rp 60,000.00","Rp 60,000.00","992.00 Pieces","Tunggal","","","","01600"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Ikat Pinggang Sekolah Custom","Kedai HW","Rp 10,000.00","Rp 10,000.00","780.00 Pieces","Tunggal","","","","0217"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Ikat Pinggang Silver","Kedai HW","Rp 15,000.00","Rp 20,000.00","180.00 Pieces","Tunggal","","","","0303"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Jaket Kokam","Kedai HW","Rp 225,000.00","Rp 225,000.00","1,000.00 Pieces","Tunggal","","","","0148"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Jas Custom","Kedai HW","Rp 150,000.00","Rp 150,000.00","940.00 Pieces","Tunggal","","","","0231"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi Brosur produk","Jas IPM","Kedai HW","Rp 130,000.00","Rp 150,000.00","1,996.00 Pieces","Tunggal","","","","21211"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Jas Pemuda","Kedai HW","Rp 140,000.00","Rp 140,000.00","9,999.00 Pieces","Tunggal","","","","0205"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Jasa Cetak","Kedai HW","Rp 15,000.00","Rp 15,000.00","1,550.00 Pieces","Tunggal","","","","0290"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Jilbab Athfal Langsung Jumbo","Kedai HW","Rp 50,000.00","Rp 50,000.00","9,960.00 Pieces","Tunggal","","","","0141"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Jilbab Athfal Langsung Standar","Kedai HW","Rp 45,000.00","Rp 45,000.00","9,711.00 Pieces","Tunggal","","","","0142"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi Brosur produk","Jilbab HW PAUD","Kedai HW","Rp 30,000.00","Rp 40,000.00","662.00 Pieces","Tunggal","","","","0910"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Jilbab Jumbo Wolfis 130 CM","Kedai HW","Rp 60,000.00","Rp 60,000.00","9,698.00 Pieces","Tunggal","","","","0139"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Jilbab Jumbo Wolfis 150 CM","Kedai HW","Rp 70,000.00","Rp 70,000.00","9,753.00 Pieces","Tunggal","","","","0140"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Jilbab Langsung SMP","Kedai HW","Rp 35,000.00","Rp 40,000.00","936.00 Pieces","Tunggal","","","","0262"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Jilbab Standar 115 CM","Kedai HW","Rp 38,000.00","Rp 38,000.00","8,906.00 Pieces","Tunggal","","","","0138"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Kalender 38x53","Kedai HW","Rp 17,300.00","Rp 17,300.00","625.00 Pieces","Tunggal","","","","0237"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Kaos DTF Katun Panjang","Kedai HW","Rp 70,000.00","Rp 70,000.00","934.00 Pieces","Tunggal","","","","0200"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Kaos DTF Katun Pendek","Kedai HW","Rp 60,000.00","Rp 60,000.00","882.00 Pieces","Tunggal","","","","0199"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Kaos Kaki HW","Kedai HW","Rp 10,000.00","Rp 10,000.00","9,799.00 Pieces","Tunggal","","","","0025"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Kaos Lapangan Anak","Kedai HW","Rp 70,000.00","Rp 70,000.00","430.00 Pieces","Tunggal","","","","0147"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Kaos Lapangan Anak Kelas 1 - 3","Kedai HW","Rp 60,000.00","Rp 60,000.00","540.00 Pieces","Tunggal","","","","0280"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Kaos Lapangan HW Dewasa","Kedai HW","Rp 85,000.00","Rp 85,000.00","724.00 Pieces","Tunggal","","","","0146"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Kaos Lapangan Kokam","Kedai HW","Rp 85,000.00","Rp 100,000.00","980.00 Pieces","Tunggal","","","","21233"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Kemeja Custom","Kedai HW","Rp 85,000.00","Rp 106,250.00","973.00 Pieces","Tunggal","","","","125.000"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi Brosur produk","Kloncer HW","Kedai HW","Rp 4,500.00","Rp 6,000.00","939.00 Pieces","Tunggal","","","","11099"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Kopel Rem","Kedai HW","Rp 40,000.00","Rp 40,000.00","10,000.00 Pieces","Tunggal","","","","0130"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Logo HW Bordir","Kedai HW","Rp 3,000.00","Rp 3,000.00","9,733.00 Pieces","Tunggal","","","","0112"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Master Kalender 2025","Kedai HW","Rp 200,000.00","Rp 200,000.00","999.00 Pieces","Tunggal","","","","0226"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi Brosur produk","Paket Badge HW PAUD/TK","Kedai HW","Rp 9,000.00","Rp 12,000.00","921.00 Pieces","Tunggal","","","","02100"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Palu Kayu","Kedai HW","Rp 20,000.00","Rp 20,000.00","1,000.00 Pieces","Tunggal","","","","0295"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Pasak Besi 30 Cm","Kedai HW","Rp 5,000.00","Rp 5,000.00","9,583.00 Pieces","Tunggal","","","","0162"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Peci Mut dan Tanda","Kedai HW","Rp 40,000.00","Rp 40,000.00","9,771.00 Pieces","Tunggal","","","","0028"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Peluit Warna Besar","Kedai HW","Rp 15,000.00","Rp 15,000.00","9,980.00 Pieces","Tunggal","","","","0126"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Peluit Warna Kecil","Kedai HW","Rp 10,000.00","Rp 10,000.00","9,931.00 Pieces","Tunggal","","","","0127"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","PIN Kuningan Custom","Kedai HW","Rp 20,000.00","Rp 25,000.00","900.00 Pieces","Tunggal","","","","25000"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Pin Sayap HW","Kedai HW","Rp 8,000.00","Rp 10,000.00","95.00 Pieces","Tunggal","","","","10000"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Ring Klip HW","Kedai HW","Rp 9,000.00","Rp 9,000.00","125.00 Pieces","Tunggal","","","","0111"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Ring Klip HW Seri B","Kedai HW","Rp 7,000.00","Rp 7,000.00","772.00 Pieces","Tunggal","","","","0244"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Ring Kuningan Bulat","Kedai HW","Rp 13,000.00","Rp 13,000.00","9,996.00 Pieces","Tunggal","","","","0137"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Ring Kuningan Fiber","Kedai HW","Rp 10,000.00","Rp 10,000.00","9,948.00 Pieces","Tunggal","","","","0136"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Ring Kuningan Seri A","Kedai HW","Rp 15,000.00","Rp 15,000.00","9,922.00 Pieces","Tunggal","","","","0027"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Ring Rotan Sintetis","Kedai HW","Rp 1,500.00","Rp 1,500.00","7,743.00 Pieces","Tunggal","","","","0145"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Ring Rotan Standar","Kedai HW","Rp 1,000.00","Rp 1,000.00","9,443.00 Pieces","Tunggal","","","","0144"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Rompi Anak","Kedai HW","Rp 90,000.00","Rp 90,000.00","959.00 Pieces","Tunggal","","","","0301"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi Brosur produk","Rompi Dewasa","Kedai HW","Rp 100,000.00","Rp 100,000.00","443.00 Pieces","Tunggal","","","","4554"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Sabuk HW Bisban B","Kedai HW","Rp 15,000.00","Rp 20,000.00","9,800.00 Pieces","Tunggal","","","","0263"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Sabuk Tapak Suci","Kedai HW","Rp 10,000.00","Rp 15,000.00","900.00 Pieces","Tunggal","","","","231"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Sarung Tangan Putih","Kedai HW","Rp 2,500.00","Rp 7,000.00","945.00 Pieces","Tunggal","","","","0235"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Scarf Pandu Eksklusif","Kedai HW","Rp 25,000.00","Rp 25,000.00","9,856.00 Pieces","Tunggal","","","","0157"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Scarf Pandu Seri A","Kedai HW","Rp 20,000.00","Rp 20,000.00","9,855.00 Pieces","Tunggal","","","","0155"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Scarf Pandu Seri B","Kedai HW","Rp 18,000.00","Rp 18,000.00","9,795.00 Pieces","Tunggal","","","","0156"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Scarf Seri B (Glowin)","Kedai HW","Rp 15,000.00","Rp 15,000.00","566.00 Pieces","Tunggal","","","","0206"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Sepatu PDL","Kedai HW","Rp 220,000.00","Rp 220,000.00","1,000.00 Pieces","Tunggal","","","","0175"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Seragam HW Athfal Putra Seri A Stell","Kedai HW","Rp 185,000.00","Rp 185,000.00","9,966.00 Sepasang","Tunggal","","","","0072"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Seragam HW Athfal Putra Seri B Stell","Kedai HW","Rp 175,000.00","Rp 175,000.00","9,816.00 Sepasang","Tunggal","","","","0073"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Seragam HW Athfal Putra Seri C","Kedai HW","Rp 115,000.00","Rp 115,000.00","9,911.00 Sepasang","Tunggal","","","","0074"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Seragam HW Athfal Putri Seri A","Kedai HW","Rp 195,000.00","Rp 195,000.00","980.00 Sepasang","Tunggal","","","","0085"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Seragam HW Athfal Putri Seri B","Kedai HW","Rp 185,000.00","Rp 185,000.00","856.00 Sepasang","Tunggal","","","","0086"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Seragam HW Athfal Putri Seri C","Kedai HW","Rp 125,000.00","Rp 125,000.00","975.00 Sepasang","Tunggal","","","","0087"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Seragam HW PAUD Seri B Putra","Kedai HW","Rp 90,000.00","Rp 100,000.00","641.00 Setelan","Tunggal","","","","20021"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Seragam HW PAUD Seri B Putri","Kedai HW","Rp 95,000.00","Rp 105,000.00","689.00 Setelan","Tunggal","","","","20010"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi Brosur produk","Seragam HW PAUD Seri C Putri","Kedai HW","Rp 80,000.00","Rp 105,000.00","991.00 Setelan","Tunggal","","","","031000"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi Brosur produk","Seragam HW PAUD/TK Seri C Putra","Kedai HW","Rp 90,000.00","Rp 100,000.00","992.00 Setelan","Tunggal","","","","03100"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Seragam HW Pengenal Putra Seri A","Kedai HW","Rp 210,000.00","Rp 210,000.00","10,000.00 Sepasang","Tunggal","","","","0077"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Seragam HW Pengenal Putra Seri B","Kedai HW","Rp 200,000.00","Rp 200,000.00","9,845.00 Sepasang","Tunggal","","","","0076"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Seragam HW Pengenal Putra Seri C","Kedai HW","Rp 135,000.00","Rp 135,000.00","9,994.00 Sepasang","Tunggal","","","","0075"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Seragam HW Pengenal Putri Seri A","Kedai HW","Rp 220,000.00","Rp 225,000.00","10,000.00 Sepasang","Tunggal","","","","0082"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Seragam HW Pengenal Putri Seri B","Kedai HW","Rp 210,000.00","Rp 210,000.00","831.00 Sepasang","Tunggal","","","","0083"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Seragam HW Pengenal Putri Seri C","Kedai HW","Rp 145,000.00","Rp 145,000.00","1,000.00 Sepasang","Tunggal","","","","0084"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Seragam HW Penghela/ Penuntun/ Dewasa Putra Seri A","Kedai HW","Rp 230,000.00","Rp 230,000.00","9,867.00 Sepasang","Tunggal","","","","0079"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Seragam HW Penghela/ Penuntun/ Dewasa Putra Seri B","Kedai HW","Rp 220,000.00","Rp 225,000.00","9,925.00 Sepasang","Tunggal","","","","0078"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Seragam HW Penghela/ Penuntun/ Dewasa Putri Seri A","Kedai HW","Rp 240,000.00","Rp 240,000.00","831.00 Sepasang","Tunggal","","","","0080"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Seragam HW Penghela/ Penuntun/ Dewasa Putri Seri B","Kedai HW","Rp 230,000.00","Rp 235,000.00","9,900.00 Sepasang","Tunggal","","","","0081"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Seragam Kokam Stell Doreng Baru","Kedai HW","Rp 290,000.00","Rp 300,000.00","80.00 Sepasang","Tunggal","","","","0216"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Seragam Olahraga Stell SMP","Kedai HW","Rp 90,000.00","Rp 130,000.00","972.00 Sepasang","Tunggal","","","","1300000"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Seragam Tapak Suci SD Seri A","Kedai HW","Rp 125,000.00","Rp 125,000.00","1,000.00 Pieces","Tunggal","","","","0198"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Seragam Tapak Suci SD Seri A","Kedai HW","Rp 125,000.00","Rp 125,000.00","9,964.00 Pieces","Tunggal","","","","0160"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Seragam Tapak Suci SMA Seri A","Kedai HW","Rp 140,000.00","Rp 140,000.00","10,000.00 Pieces","Tunggal","","","","0158"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Seragam Tapak Suci SMP Seri A","Kedai HW","Rp 130,000.00","Rp 130,000.00","10,000.00 Pieces","Tunggal","","","","0159"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Seragam Tapak Suci TK Paud","Kedai HW","Rp 95,000.00","Rp 95,000.00","10,000.00 Pieces","Tunggal","","","","0161"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Seragam Tunas Athfal Seri A","Kedai HW","Rp 120,000.00","Rp 120,000.00","98.00 Pieces","Tunggal","","","","0194"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Seragam Tunas Athfal Seri B","Kedai HW","Rp 110,000.00","Rp 110,000.00","75.00 Pieces","Tunggal","","","","0195"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Seragam Tunas Athfal Seri C","Kedai HW","Rp 95,000.00","Rp 95,000.00","100.00 Pieces","Tunggal","","","","0196"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi Brosur produk","SET Lengkap KOKAM Baru","Kedai HW","Rp 600,000.00","Rp 645,000.00","994.00 Setelan","Tunggal","","","","12121"
