"","Gambar produk","Tindakan","Produk","Lokasi Bisnis","Harga Pembelian Satuan","Harga penjualan","Stok saat ini","Jenis Produk","Kategori","Merek","Pajak","SKU"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Baju HW Ripstop","Kedai HW","Rp 120,000.00","Rp 130,000.00","0.00 Pieces","Tunggal","","","","13200"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Baju Lapangan Bordir Timbul","Kedai HW","Rp 450,000.00","Rp 450,000.00","99.00 Pieces","Tunggal","","","","0288"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Baju Pengenal Putra Seri A","Kedai HW","Rp 110,000.00","Rp 110,000.00","1,000.00 Pieces","Tunggal","","","","0092"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Baju Pengenal Putra Seri B","Kedai HW","Rp 100,000.00","Rp 100,000.00","782.00 Pieces","Tunggal","","","","0093"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Baju Pengenal Putra Seri C","Kedai HW","Rp 70,000.00","Rp 70,000.00","946.00 Pieces","Tunggal","","","","0094"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Baju Pengenal Putri Seri A","Kedai HW","Rp 120,000.00","Rp 120,000.00","1,000.00 Pieces","Tunggal","","","","0099"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Baju Pengenal Putri Seri B","Kedai HW","Rp 110,000.00","Rp 110,000.00","9,822.00 Pieces","Tunggal","","","","0100"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Baju Pengenal Putri Seri C","Kedai HW","Rp 80,000.00","Rp 80,000.00","945.00 Pieces","Tunggal","","","","0101"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Baju Penghela/ Penuntun/ Dewasa Putra Seri A","Kedai HW","Rp 120,000.00","Rp 120,000.00","980.00 Pieces","Tunggal","","","","0095"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Baju Penghela/ Penuntun/ Dewasa Putra Seri B","Kedai HW","Rp 115,000.00","Rp 143,750.00","965.00 Pieces","Tunggal","","","","0096"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Baju Penghela/ Penuntun/ Dewasa Putri Seri A","Kedai HW","Rp 130,000.00","Rp 130,000.00","996.00 Pieces","Tunggal","","","","0097"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Baju Penghela/ Penuntun/ Dewasa Putri Seri B","Kedai HW","Rp 120,000.00","Rp 120,000.00","973.00 Pieces","Tunggal","","","","0098"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Ban Lengan Bordir","Kedai HW","Rp 35,000.00","Rp 35,000.00","312.00 Pieces","Tunggal","","","","0128"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Ban Lengan DTF","Kedai HW","Rp 25,000.00","Rp 25,000.00","935.00 Pieces","Tunggal","","","","0129"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bandera HW Seri A 90 x 135 cm","Kedai HW","Rp 50,000.00","Rp 50,000.00","9,999.00 Pieces","Tunggal","","","","0069"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bandera HW Seri B 60 x 90 CM","Kedai HW","Rp 35,000.00","Rp 35,000.00","1,000.00 Pieces","Tunggal","","","","0071"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bandera HW Seri B 90 x 135 cm","Kedai HW","Rp 40,000.00","Rp 40,000.00","9,995.00 Pieces","Tunggal","","","","0070"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Baret Kokam dan Tanda","Kedai HW","Rp 55,000.00","Rp 55,000.00","10,000.00 Pieces","Tunggal","","","","0017"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Baret Merah Seri Eksklufif","Kedai HW","Rp 120,000.00","Rp 120,000.00","1,000.00 Pieces","Tunggal","","","","0220"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Baret Pengenal Seri A","Kedai HW","Rp 35,000.00","Rp 35,000.00","584.00 Pieces","Tunggal","","","","0010"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Baret Pengenal Seri B","Kedai HW","Rp 16,000.00","Rp 16,000.00","81.00 Pieces","Tunggal","","","","0011"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Baret Pengenal Seri C","Kedai HW","Rp 12,000.00","Rp 12,000.00","9,033.00 Pieces","Tunggal","","","","0012"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Baret Penghela Seri A","Kedai HW","Rp 40,000.00","Rp 40,000.00","8,684.00 Pieces","Tunggal","","","","0013"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Baret Penghela Seri B","Kedai HW","Rp 18,000.00","Rp 18,000.00","9,153.00 Pieces","Tunggal","","","","0014"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Baret Penghela Seri C","Kedai HW","Rp 12,000.00","Rp 12,000.00","9,767.00 Pieces","Tunggal","","","","0015"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Baret Penuntun/ Pelatih Merah Seri A","Kedai HW","Rp 35,000.00","Rp 35,000.00","9,996.00 Pieces","Tunggal","","","","0016"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Batik Biru IPM Putra","Kedai HW","Rp 110,000.00","Rp 110,000.00","989.00 Pieces","Tunggal","","","","0232"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Batik Biru IPM Putri","Kedai HW","Rp 120,000.00","Rp 120,000.00","999.00 Pieces","Tunggal","","","","0233"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bender Muhammadiyah 90 x 135 Seri A","Kedai HW","Rp 40,000.00","Rp 40,000.00","9,999.00 Pieces","Tunggal","","","","0224"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bendera Aisyiyah","Kedai HW","Rp 45,000.00","Rp 56,250.00","992.00 Pieces","Tunggal","","","","0065"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bendera Bordir Custom","Kedai HW","Rp 500,000.00","Rp 500,000.00","60.00 Pieces","Tunggal","","","","0259"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bendera Custom Bordir","Kedai HW","Rp 500,000.00","Rp 500,000.00","95.00 Pieces","Tunggal","","","","0208"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi Brosur produk","Bendera Custom DTF","Kedai HW","Rp 75,000.00","Rp 75,000.00","94.00 Pieces","Tunggal","","","","0209"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bendera Dikdasmen Aisyiyah 60 x 90 cm","Kedai HW","Rp 35,000.00","Rp 35,000.00","1,000.00 Pieces","Tunggal","","","","0272"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bendera Dikdasmen Aisyiyah 90 x 135 cm","Kedai HW","Rp 45,000.00","Rp 45,000.00","920.00 Pieces","Tunggal","","","","0271"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bendera HW 60 x 90 CM Seri B","Kedai HW","Rp 35,000.00","Rp 35,000.00","1,947.00 Pieces","Tunggal","","","","0213"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bendera HW 90 x 135 Seri B","Kedai HW","Rp 40,000.00","Rp 45,000.00","774.00 Pieces","Tunggal","","","","0187"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bendera HW Printing","Kedai HW","Rp 65,000.00","Rp 65,000.00","9,989.00 Pieces","Tunggal","","","","0202"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bendera IMM Printing","Kedai HW","Rp 65,000.00","Rp 81,250.00","1,000.00 Pieces","Tunggal","","","","0054"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bendera IMM Sablon DTF","Kedai HW","Rp 50,000.00","Rp 62,500.00","998.00 Pieces","Tunggal","","","","0056"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bendera IPM DTF","Kedai HW","Rp 50,000.00","Rp 62,500.00","998.00 Pieces","Tunggal","","","","0044"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bendera IPM printing","Kedai HW","Rp 65,000.00","Rp 81,250.00","1,000.00 Pieces","Tunggal","","","","0041"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bendera IPM Sablon","Kedai HW","Rp 45,000.00","Rp 56,250.00","987.00 Pieces","Tunggal","","","","0043"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bendera Kuntum Athfal","Kedai HW","Rp 8,000.00","Rp 10,000.00","931.00 Pieces","Tunggal","","","","0192"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi Brosur produk","Bendera Kuntum Athfal","Kedai HW","Rp 6,000.00","Rp 10,000.00","965.00 Pieces","Tunggal","","","","11121"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bendera Merah Putih 60 x 90","Kedai HW","Rp 20,000.00","Rp 20,000.00","9,999.00 Pieces","Tunggal","","","","0059"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bendera Merah Putih 90 x 135","Kedai HW","Rp 25,000.00","Rp 25,000.00","9,995.00 Pieces","Tunggal","","","","0060"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bendera Merah Putih Custom","Kedai HW","Rp 40,000.00","Rp 40,000.00","998.00 Pieces","Tunggal","","","","0296"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bendera Muhammadiyah 50 x 75","Kedai HW","Rp 15,000.00","Rp 15,000.00","9,925.00 Pieces","Tunggal","","","","0222"
